#{"t_start": 1783884472.7118273, "env_id": "LunarLander-v3"}
r,l,t
-10.445153,102,57.924134
-46.624653,166,58.052119
-35.29162,143,58.180813
-101.91443,214,58.348671
-122.48544,195,60.386727
-124.711019,236,60.591793
-24.907436,159,60.716782
-8.541514,108,60.80723
-2.312344,195,60.959449
206.76813,636,61.530615
-36.103272,124,61.641083
-53.023626,147,61.755005
-120.14945,194,61.915246
-7.576575,210,63.89239
-80.144128,140,64.026598
-19.15749,158,64.162429
-93.52925,293,64.411371
20.817261,127,64.524513
-51.720822,288,64.781754
-160.977146,162,64.91606
-10.08213,238,65.117259
-5.365045,204,65.296093
-67.762739,175,65.465405
-93.506705,288,67.638707
-305.278914,393,67.965457
-238.71582,259,68.179125
-56.09008,248,68.375641
8.695597,218,68.552939
-152.204368,463,68.935282
-80.842849,155,69.070256
-127.677423,534,71.218143
-18.44744,1000,72.086628
-43.607587,157,72.204474
-214.910734,777,74.475659
-37.813545,373,74.782987
-17.330078,169,74.921377
-46.447996,365,75.190685
-91.10338,272,75.425995
-44.462438,276,75.658909
-14.11179,252,75.85854
45.576557,1000,78.40481
-177.335544,410,83.67387
6.420219,236,83.889768
-8.814278,237,84.084081
-276.003961,249,86.038386
-174.644593,376,86.375818
-57.046405,332,86.660787
-11.869022,228,86.862707
13.170473,325,87.130479
-22.013142,244,87.338731
-4.791562,224,87.526492
-49.224501,239,87.75688
-11.767842,216,89.539889
-37.775805,224,89.736995
30.985979,321,90.009084
-38.440111,393,90.315627
-46.279239,452,90.688891
50.101687,1000,93.026431
70.814072,1000,93.873892
-124.159204,176,94.000961
0.092299,257,94.195465
19.672643,1000,97.082233
138.647095,626,97.59099
-151.792121,395,97.900245
-88.18996,283,99.887172
69.807848,1000,100.703933
-203.506561,540,101.135713
-205.500468,513,103.415047
-6.006822,245,103.599887
-114.285064,401,103.987233
126.165846,1000,104.848459
-96.918178,333,106.835959
31.699441,191,106.981193
-49.880831,372,107.274338
-42.078613,507,107.736388
-77.969599,274,107.960897
95.619442,1000,110.458652
86.175471,1000,111.309411
-55.310127,377,111.63967
50.232908,1000,114.179562
66.103243,1000,114.974277
22.444269,1000,121.274795
27.558223,1000,122.13263
-92.383831,477,124.396648
-12.918056,1000,125.281917
60.044911,1000,127.964491
45.435077,1000,128.880669
82.11528,1000,129.690372
-57.696431,1000,132.253461
-182.420457,814,132.973647
51.617229,1000,135.968268
36.690055,1000,136.827486
52.473338,1000,139.833019
6.490565,1000,140.66968
-137.357797,930,143.243277
38.104316,1000,144.09178
-132.128301,835,146.614167
-47.576679,1000,147.485955
46.181295,1000,150.073984
-150.845707,974,150.835347
-12.886176,1000,153.147413
-39.639797,1000,153.843231
-19.396541,1000,161.273123
-12.604117,1000,162.081231
25.450245,1000,165.072866
-111.705599,920,165.86201
44.855301,1000,168.664103
28.764164,1000,169.480273
8.163675,1000,170.272721
64.086116,985,172.953734
-45.019587,1000,173.75613
-77.944602,727,176.044518
48.985043,1000,176.889995
10.827296,1000,179.483491
30.202324,1000,180.361003
28.990484,1000,182.900606
-67.077136,677,183.45898
-83.4543,730,184.039739
-86.817064,532,186.250828
98.629571,1000,187.141577
39.630253,1000,189.983036
97.297771,847,190.755019
22.535724,1000,193.499223
35.299712,1000,194.333904
-23.584289,1000,202.530594
65.066928,1000,203.432001
134.727214,863,204.168712
85.046334,1000,206.874552
68.50578,836,207.657525
54.899301,1000,210.354791
-90.894955,713,211.001835
124.554544,945,213.644018
-154.763544,641,214.156271
51.057515,1000,214.955605
-131.80266,532,216.780484
53.614759,1000,217.65192
-96.699112,595,219.72894
67.255901,1000,220.52277
129.892263,681,221.048462
132.488722,672,223.278805
133.925403,674,223.811952
81.795427,1000,224.602858
57.996391,1000,226.906591
118.064574,733,227.473796
151.554935,675,229.345901
46.899066,1000,230.131802
39.908318,1000,232.596294
-29.688192,1000,238.652338
-61.228654,348,238.958221
15.701412,1000,241.379662
83.658312,1000,242.27621
25.014045,1000,244.984343
132.917184,741,245.616466
-211.999337,811,247.956177
10.706943,1000,248.766938
26.440587,1000,249.566437
123.886019,995,251.902494
33.434233,1000,252.750726
80.313607,819,255.11729
-15.487375,1000,255.920059
125.740046,860,258.289158
-65.742495,280,258.538387
33.531323,1000,259.414597
26.370277,1000,261.860989
82.008119,1000,262.67224
63.491775,750,265.143704
107.698409,832,265.914417
65.057924,1000,268.364496
104.575517,920,269.078803
-113.388737,756,269.702665
9.390935,1000,275.861035
-163.823462,777,276.484223
-43.517538,281,276.719447
203.90247,508,278.638376
-62.772717,1000,279.445564
104.9933,779,281.823653
41.324764,1000,282.624311
52.453447,1000,285.106535
131.361567,888,285.777211
-92.388588,435,286.123113
-155.222588,866,288.379436
50.088724,1000,289.251562
152.438683,535,289.71294
30.15898,1000,292.246601
134.189208,793,292.942892
36.076671,1000,295.509781
