#{"t_start": 1783885131.5194988, "env_id": "LunarLander-v3"}
r,l,t
-126.90144,205,21.316317
-31.513044,234,21.389883
-52.566048,130,21.431032
-53.61262,283,21.531318
-43.310269,154,21.587799
-152.428664,179,21.644742
-263.789108,222,21.717209
-419.713773,248,22.230487
-60.220765,96,22.259616
4.893473,138,22.302944
3.49517,116,22.341531
-3.258695,148,22.3899
-166.139478,242,22.465374
9.55655,153,22.516081
-2.013258,134,22.557579
-145.739672,226,22.627604
8.988284,142,22.672185
-52.684059,193,22.737908
38.68376,107,22.771504
-29.693904,125,22.810123
-39.373468,124,22.850676
-21.647738,132,23.324257
-59.806869,180,23.381713
-103.088419,160,23.430692
25.409821,120,23.467142
85.841081,1000,23.79445
-57.216893,203,23.858851
-15.997007,150,23.907196
-25.113093,108,23.941648
-22.738052,101,24.401007
-185.789334,131,24.443607
-11.009219,157,24.498528
-31.294076,107,24.532359
-25.429806,140,24.574632
15.393126,125,24.613487
10.684391,129,24.65337
-45.040085,213,24.716926
-37.924603,151,24.767742
104.327873,1000,25.537782
-35.419978,214,25.606713
-62.489461,228,25.676479
-231.498312,264,25.760588
-21.402417,257,25.839071
26.99642,127,25.879549
-10.090918,179,25.93355
9.092882,164,25.985942
-37.871517,141,26.03125
-64.754208,188,26.091324
32.646319,145,26.13534
-74.973847,225,26.643883
-38.369192,269,26.730572
-3.607743,154,26.784527
-46.691209,179,26.841595
-85.363126,227,26.913694
-27.217035,201,28.247439
-17.584301,195,28.308306
-69.155364,157,28.355768
-73.669982,270,28.443094
-61.194508,211,28.980457
5.527621,261,29.061944
-14.520779,336,29.167752
-159.345022,291,29.260228
-60.211676,299,29.359095
-35.730041,289,29.452725
-181.430317,192,29.519452
-138.228248,213,29.5857
-87.679867,215,30.094788
-83.28295,313,30.196123
-99.986904,224,30.283966
-176.652963,202,30.34944
-173.663167,226,30.419761
23.813392,1000,30.747121
83.32645,1000,32.271841
-226.745074,424,32.415422
7.928702,209,32.482421
-17.158746,310,32.580038
99.789007,1000,34.12564
-59.867472,185,34.181257
-56.274902,237,34.252235
-107.004106,200,34.31291
-197.611923,286,34.401836
-37.115455,230,34.477572
-39.376289,249,35.024326
84.706546,1000,35.356115
56.68963,1000,36.114932
-59.433777,193,36.173256
-244.893496,516,36.33044
-264.708265,232,36.408445
-96.744917,255,36.490132
-61.502844,261,36.594534
-232.795617,274,36.689555
-266.303861,330,37.253776
21.402497,214,37.325403
-92.632801,381,37.444717
48.569354,1000,37.790875
-187.756565,527,38.380388
125.993602,1000,38.724209
-159.332301,307,38.820138
-11.111619,235,38.893017
-177.902381,450,39.48279
-28.215571,280,39.582884
-98.748398,356,39.690948
