#{"t_start": 1783885601.9410274, "env_id": "LunarLander-v3"}
r,l,t
-226.134478,95,22.405187
-16.327239,116,22.443944
-163.908428,113,22.480593
-80.273322,99,22.512576
-138.731018,102,22.549727
-92.357234,148,22.605566
-87.294573,99,22.641067
-119.73891,81,22.672171
-222.271586,139,22.734982
-95.441027,96,22.774826
-190.609835,129,24.257421
-88.782688,77,24.286423
-64.301176,170,24.350008
-252.03178,182,24.412897
-150.973025,106,24.450618
-51.383293,83,24.478257
-69.978783,160,24.53659
-318.109767,135,24.587098
-179.029129,116,24.623351
-112.863731,81,24.649089
-199.566013,111,24.684129
-107.750314,149,24.735798
-76.210044,140,24.79277
-102.753925,91,24.826627
-67.195677,115,24.869066
12.602207,126,24.910286
-136.430334,118,24.948092
-69.179845,119,25.67445
-39.992302,110,25.714465
-123.396706,163,25.776547
-106.357057,109,25.82077
-125.808077,152,25.876293
-303.550897,146,25.940233
-133.940309,115,25.979096
-87.573316,112,26.016563
-110.302702,99,26.050086
-185.26598,155,26.100912
-20.767363,86,26.129308
-49.083879,79,26.163067
-130.088701,140,26.217661
-94.770791,99,26.254444
-217.650699,176,26.318082
-254.651811,137,26.363166
-11.263251,94,26.394108
-83.651607,129,27.020431
-78.099262,160,27.110486
-62.535862,76,27.139511
-152.169951,170,27.244489
-197.860216,188,27.315902
-55.553172,91,27.363499
-138.30018,122,27.414929
-86.305152,125,27.466576
-103.843605,175,27.529202
-153.391979,114,27.571155
-91.588155,130,27.620548
-81.94199,161,27.676686
-15.665958,103,27.71853
-52.323545,185,27.781934
-226.86555,114,27.824821
24.4607,97,28.475101
-51.610426,89,28.509973
-218.899895,164,28.56564
-69.12051,133,28.610543
46.527965,1000,28.973078
-89.863781,122,29.017094
-31.662804,174,29.08531
-45.488618,117,29.124551
-46.035114,152,29.174797
-200.737729,172,30.567572
-61.888809,136,30.612117
-65.131621,154,30.665817
-1.849944,136,30.716153
-134.916999,115,30.753956
-24.835933,178,30.827355
-159.855125,169,30.886374
-16.772599,141,30.935827
-67.720605,141,30.992043
-56.825325,145,31.054219
-87.97203,175,31.112598
-292.647444,123,31.170214
-164.775873,161,31.219404
-47.349697,106,31.252132
-46.68698,121,32.687713
-297.536498,220,32.784027
-272.353981,176,32.856552
-54.842538,167,32.91785
-200.231603,158,32.979568
-38.237818,100,33.015662
-309.536748,205,33.113909
-36.871375,122,33.164237
-383.119884,201,33.239084
-8.831414,118,33.283544
-13.184729,132,33.343138
-101.927166,148,33.403517
-25.711465,183,33.479886
-56.866318,189,34.53939
-3.088046,139,34.595883
-265.603164,211,34.68329
-33.53393,150,34.751125
-67.598581,173,34.832857
-153.206107,120,34.885091
-328.175608,216,35.850075
-57.947994,129,35.898636
-95.687497,205,35.977943
-210.330803,171,36.0395
21.502468,115,36.080995
-70.134594,111,36.121245
3.106218,139,36.179359
-110.785025,116,37.582745
-36.042247,115,37.626415
-95.660653,132,37.675945
-232.428162,179,37.736155
-22.771185,132,37.789333
-90.875895,199,37.855953
-34.471552,266,37.947988
-273.417981,202,38.020301
-67.875354,199,38.105842
-38.476614,143,38.168405
-4.024552,109,38.206164
-86.999995,172,38.264949
-7.874087,197,39.036306
-53.451366,195,39.103702
0.618102,140,39.151876
-376.125396,205,39.220902
-176.463596,189,39.285241
19.359749,249,39.366734
-41.951461,109,39.402507
-233.6813,195,39.469
-20.311464,166,39.526989
-102.632874,214,39.614595
-8.808854,147,39.672503
41.508705,121,39.715076
-92.760244,109,41.157615
-32.251823,153,41.212367
-46.725981,201,41.285398
-43.312369,194,41.360423
-101.232333,98,41.397422
-58.497515,138,41.444155
-18.506324,137,41.489597
-42.669474,243,41.581743
-24.265214,133,41.625206
-26.57615,152,41.683991
8.426233,171,41.750544
-82.445326,150,41.797754
-35.493129,187,42.54116
-18.814917,136,42.596532
76.4543,1000,42.957706
-29.487454,193,43.025072
-76.939445,137,43.072387
37.10184,1000,44.185535
36.36759,1000,44.598382
-17.138715,234,44.674066
-189.794355,177,44.7321
-224.673093,200,44.797455
-20.175169,276,45.47561
20.244068,128,45.524425
17.110303,183,45.58849
-217.981762,192,45.654397
-40.650188,199,45.721199
-76.634554,186,45.792561
1.384524,216,45.877402
34.437607,147,45.924438
21.498467,149,45.9722
12.185616,245,46.050042
57.746911,1000,47.746902
-123.323846,519,47.929548
-127.217656,171,47.986825
11.743202,233,48.084567
-42.668429,221,48.197891
49.760394,1000,49.76221
-131.711988,235,49.838442
87.095701,1000,50.783885
-52.354393,235,50.882278
17.299692,190,50.95463
-73.372137,235,51.048636
44.694711,192,51.141483
48.766308,1000,51.621258
-49.16255,179,52.358516
-24.357219,241,52.454329
118.640038,1000,54.221408
-14.720939,189,54.291734
-128.553328,266,54.426052
-52.802504,232,55.279553
-66.401795,215,55.371695
100.684214,1000,55.730079
8.372784,137,55.778351
-49.533821,249,55.864062
59.181687,1000,56.869065
-117.823006,338,57.003848
-80.53005,333,57.121123
8.921848,175,57.196735
-136.805364,327,57.318285
-100.764897,323,59.025063
89.845688,1000,59.44841
37.505814,1000,59.813653
17.958961,171,60.600679
9.726962,170,60.660881
26.824319,1000,61.034727
-105.487563,208,61.103983
5.826575,273,61.203385
-34.315471,386,62.850368
73.618517,1000,63.254271
13.321072,265,63.362302
-48.280461,1000,64.394874
-43.908642,280,64.504082
24.865042,319,64.61157
-110.985827,303,64.710904
76.681402,1000,65.672346
-48.38006,319,65.782942
-57.936555,293,65.884457
81.207183,1000,66.271879
61.950261,1000,67.241412
15.939645,223,67.325014
51.458263,1000,67.739465
80.19923,1000,69.546428
23.778614,1000,69.930883
48.457297,1000,72.008245
35.307523,1000,72.348994
83.415929,1000,73.397691
-126.539922,207,73.485572
53.307997,1000,73.888056
-63.355467,371,74.693477
48.245592,1000,75.052411
28.293532,1000,76.526482
155.154824,1000,76.88812
17.735166,394,77.016811
-23.008248,458,77.767904
58.135057,1000,78.137592
113.212195,1000,79.148926
-162.11118,675,79.419643
114.684441,1000,79.94853
-192.142272,652,80.996347
-166.72814,727,81.267612
38.255577,1000,82.997031
-177.946231,549,83.199878
60.05047,1000,83.587372
50.594218,1000,84.790807
54.019298,1000,85.134718
23.616921,1000,86.915023
165.514487,1000,87.272293
-66.991313,532,89.842312
