#{"t_start": 1783885305.4332967, "env_id": "LunarLander-v3"}
r,l,t
81.976489,1000,43.126005
-10.294341,253,43.212142
-84.779614,320,43.326157
97.139361,1000,43.682699
34.3181,1000,44.690284
32.389583,111,44.727707
-113.017946,866,45.006721
89.783996,1000,46.157037
-76.586289,420,46.324232
-8.280656,1000,48.106639
-44.627547,258,48.198179
44.694618,1000,48.598132
-71.656687,364,48.751165
-38.621023,1000,49.66028
12.201289,1000,50.046853
-55.908913,275,50.159023
170.503353,675,53.277062
66.196218,1000,53.612812
100.30659,1000,55.486027
110.474239,1000,55.866619
69.77409,1000,57.64531
102.642154,1000,58.042171
-89.25063,550,58.737373
63.311468,1000,59.116284
4.960694,262,59.209716
86.082687,1000,60.11652
-28.274492,157,60.180214
71.702539,1000,60.512336
93.607562,1000,61.426174
114.418706,1000,61.855955
-80.095075,195,61.928653
119.664654,1000,63.830768
166.795477,1000,64.227418
-39.319202,159,64.286104
-8.910591,218,64.381032
115.869322,1000,65.243788
-36.303814,270,65.331782
82.799058,1000,66.294389
184.74503,406,66.465902
-73.223235,322,66.595717
84.140716,1000,66.979084
-96.035747,170,67.039138
0.283165,313,67.669495
-91.626229,148,67.722345
96.810954,1000,68.180677
-49.150346,304,68.288268
-71.184389,235,68.361805
-8.570531,297,70.418003
114.770971,1000,70.770105
132.282486,1000,71.731774
-104.101438,979,72.128441
-51.924558,232,72.229888
191.597485,753,73.897172
22.476066,180,73.961696
110.624445,1000,74.359379
88.042528,1000,75.5143
105.757852,451,75.677097
-2.185292,213,75.740432
185.837085,337,75.857738
130.22418,1000,76.778954
23.574524,1000,77.143925
-44.377071,240,77.237835
127.003085,1000,78.133687
-67.40097,286,78.243057
136.753137,1000,78.631309
138.832063,1000,80.393313
-44.113989,180,80.450802
-48.328066,131,80.496531
-83.866518,395,80.614671
-74.565422,335,80.717363
-158.87672,411,80.897704
116.840995,1000,82.662506
199.265469,380,82.792634
208.640624,402,82.933481
-21.895299,283,83.028117
-36.525301,197,83.663723
235.458008,602,83.866062
-3.852517,111,83.899833
108.021718,1000,84.260522
213.408523,556,85.977732
177.932703,334,86.107736
-35.469377,232,86.208922
216.548019,241,86.327399
220.329616,386,86.460168
