#{"t_start": 1783885211.162554, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.093197
-119.873151,78,0.120241
-185.423265,64,0.14519
-378.535101,103,0.17803
-94.028052,74,0.202023
-134.417143,82,0.236198
-69.778725,69,0.263445
-80.346029,66,0.288038
-98.433404,99,0.333191
-128.721352,86,0.363796
-106.93505,63,0.383729
-210.400887,123,0.424146
-24.561323,118,0.461806
-159.970325,96,0.49254
-184.932939,86,0.52043
-252.284203,95,0.551245
-117.603145,73,0.577487
-195.296713,79,0.605738
-330.764731,114,0.642461
-186.305367,62,0.664938
-261.025312,86,0.700703
-208.709875,84,0.731276
-112.77929,69,0.765014
-99.782607,60,1.359395
-121.907865,66,1.380697
-160.46639,104,1.413146
-136.051365,91,1.444264
-69.776543,71,1.479471
-187.737588,94,1.51052
-217.050552,67,1.532381
-338.260387,92,1.561158
-239.094169,104,1.593428
-170.340348,94,1.622495
-294.065638,102,1.653893
-94.37307,81,1.67942
-87.012023,73,1.702446
-212.752196,95,1.734573
-54.526097,126,1.777955
-216.253856,90,1.812871
-122.113698,78,1.836842
-217.319641,118,1.877134
-348.395905,76,1.903956
-329.853809,99,1.938731
-206.892707,112,1.986762
-267.440857,116,2.030474
-247.99188,103,3.44909
-397.935527,133,3.505411
-120.866547,106,3.547826
10.691956,100,3.624563
-166.202804,70,3.651068
-109.600679,79,3.678033
-276.834818,105,3.723772
-38.039733,120,3.766336
-111.643412,61,3.789406
-72.231884,79,3.818811
-253.258208,142,3.873581
-18.695254,100,3.91833
-390.186555,114,3.959597
-247.201792,112,4.001775
-42.367471,136,4.046937
-129.117313,82,4.074016
-353.976494,96,4.107274
-95.244669,80,4.134263
-247.320009,87,4.162035
-226.692921,90,4.196149
-193.614397,113,4.233847
-334.932653,96,5.698927
-36.671668,100,5.738323
-93.908799,90,5.771688
-80.757237,82,5.798863
-152.659434,113,5.84331
-84.871026,77,5.885134
-208.467047,109,5.92731
-149.602722,121,5.967177
-68.729003,74,5.996535
-425.246236,100,6.040527
-91.895115,58,6.060733
-51.892312,102,6.09733
-153.853447,136,6.153944
-148.909553,85,6.183395
-226.167779,106,6.217827
-436.083173,77,6.24356
69.506289,1000,7.974069
-159.50753,113,8.010929
-106.639827,115,8.049268
-226.763494,89,8.088366
-104.909601,137,8.18955
-115.309801,83,8.224821
-69.361154,72,8.251697
-142.890367,105,8.29077
-119.735089,115,8.343663
-225.898119,77,8.381492
-242.818975,145,8.444722
-132.713735,73,8.472363
-81.349513,104,8.507464
-101.830718,81,8.534018
-210.051069,100,8.568271
-166.620085,144,8.616437
-76.178511,66,9.237495
-306.299828,117,9.277514
-338.31416,124,9.315606
-242.018331,92,9.347601
-103.539456,132,9.391034
-85.096975,111,9.430792
-139.638389,112,9.469214
-365.331744,124,9.512759
-80.235002,72,9.535275
-165.73774,120,9.575269
-70.180527,111,9.619966
-534.894665,106,9.671898
-150.060908,100,9.705229
-87.954021,68,9.730889
-67.26277,103,9.77267
-285.885593,82,9.800477
-124.139759,147,9.869474
-318.111227,116,9.919728
-107.538082,83,9.952032
-327.418271,132,10.682315
-62.77447,90,10.715823
-306.78636,98,10.751714
-53.212539,81,10.782691
-127.71234,119,10.824455
-73.774675,75,10.850167
-416.429059,78,10.878721
-100.853524,82,10.905808
-246.158471,165,10.964627
-349.374988,106,10.998663
-83.901479,83,11.023658
15.060839,1000,11.390591
-108.428466,101,13.040559
-170.468277,103,13.100343
-51.115202,86,13.130299
-0.826155,117,13.168012
-123.550534,126,13.209862
-107.212203,150,13.254198
-283.12298,115,13.292628
-91.497895,107,13.329376
-237.353748,100,13.379326
-34.093397,120,13.420236
-149.16881,109,13.458453
-88.671745,101,13.493834
-180.227636,78,13.524826
-38.163987,86,13.554086
-150.938943,118,13.598774
-53.8632,76,13.626559
-10.754487,76,13.666499
-193.896109,114,13.723494
-121.381976,88,13.753381
-221.731899,97,13.783522
-84.643036,73,15.260811
-95.079983,120,15.307075
-110.707867,114,15.345145
-141.678592,75,15.368293
-68.386668,81,15.392699
-478.363617,132,15.439435
-193.99677,107,15.488912
-178.581318,96,15.522292
-220.37286,98,15.580175
-154.18298,97,15.617765
-267.609017,81,15.649541
-122.146815,108,15.689667
-38.392869,140,15.74349
-153.372778,145,15.788546
-143.863644,75,15.812152
-313.616541,134,15.854176
-203.967891,133,15.900956
-270.172966,126,15.963524
-314.691166,90,15.994771
-196.920686,75,16.579185
-185.500279,113,16.616488
-170.713116,108,16.653756
-14.100544,150,16.712992
-170.975695,109,16.750717
-68.395938,111,16.789002
-11.023923,127,16.842254
-59.582253,102,16.874936
-7.549599,105,16.921658
-135.645285,95,16.957164
-114.199409,94,16.990172
-130.96422,132,17.031178
-334.269836,119,17.069701
-45.785349,169,17.121984
-120.61369,117,17.921738
-47.786813,90,17.954817
-166.082979,148,18.007754
-46.19868,82,18.032949
-94.395599,122,18.881317
-276.72973,176,18.944862
-392.179831,161,19.004608
-192.432389,140,19.058711
-60.454734,215,19.158531
-388.288418,98,19.201204
-51.802174,110,19.235226
-100.471667,114,19.270783
-373.535185,107,19.304204
-589.405595,174,19.359248
-243.275519,158,19.452359
-327.617973,171,19.51664
-378.652785,169,19.592427
-68.28239,86,19.640202
-221.048815,80,19.671749
-103.188769,152,21.273316
-124.12558,113,21.328117
-245.602045,134,21.380699
-226.010809,97,21.413539
-82.532407,129,21.458435
-240.420475,120,21.500093
-190.678867,105,21.542258
-183.740479,148,21.594219
-483.842676,105,21.632723
-64.179259,83,21.660077
-251.84365,121,21.701568
-436.047103,174,21.760627
-115.403386,119,21.803623
-221.533814,190,21.870347
-98.266521,88,21.912148
-61.228676,101,21.968074
-288.34374,181,22.763333
-94.442167,93,22.796986
-223.260812,116,22.85867
-264.697773,96,22.905512
-189.981396,110,22.947017
-253.340921,108,22.986062
-312.002118,182,23.045424
-101.608321,120,23.081946
-241.882121,174,23.190582
-39.489375,105,23.234726
-83.871316,123,23.27917
-203.074234,152,23.335447
-199.190363,117,23.376326
-76.830227,78,23.401768
-125.048398,147,23.445371
-84.123292,85,23.470758
-296.850996,100,23.50096
-162.700092,99,24.293753
-96.584401,108,24.331276
-160.249877,110,24.370029
-302.181617,152,24.42046
-183.545782,94,24.454383
-316.711733,133,24.533194
-24.759003,76,24.573347
-401.287997,169,24.625674
-236.732604,113,24.65891
-124.734124,137,24.699781
-273.026502,138,24.745921
-216.785276,102,24.788126
-162.661238,115,24.827823
-316.955418,166,24.881001
8.204944,128,24.930466
-96.056268,172,24.99642
-157.581288,190,26.652478
-168.629873,97,26.696961
-102.397628,102,26.764082
-4.250034,90,26.79798
-138.080849,212,26.8978
-48.732691,80,26.926982
-80.669012,136,26.974658
-48.370263,145,27.048251
-56.959786,129,27.092788
-75.504043,155,27.153907
-278.324282,145,27.215046
-92.27485,102,27.249762
-96.435502,76,27.278409
-52.411502,192,27.336914
-110.250198,116,27.371796
-42.415008,93,27.400008
-114.368762,117,28.031061
-61.127756,84,28.061401
-244.861786,133,28.114761
16.429902,114,28.155853
-94.259081,142,28.209358
-128.773312,171,28.268605
-252.463195,120,28.30587
-78.509353,128,28.344929
-297.826052,111,28.392052
-162.119721,97,28.423885
-292.185144,127,28.467781
-271.245488,213,28.54227
-70.820992,134,28.589858
-167.304607,178,28.660012
-294.452289,136,28.705257
-251.572719,124,30.12285
-160.078511,155,30.186258
-73.471576,138,30.23222
-43.220688,125,30.276273
-50.226826,154,30.327558
-226.857399,131,30.371377
-93.736971,152,30.439944
-141.337045,157,30.550945
-104.96565,218,30.630379
-140.912038,97,30.662313
-331.140607,104,30.700993
-49.281663,90,30.742442
10.26511,89,30.77126
-196.827595,166,30.820993
-61.703975,197,30.880291
-116.79058,170,32.437283
-291.993081,156,32.502666
-86.951493,136,32.5614
-239.326092,170,32.619642
-59.546734,88,32.649861
-88.547576,129,32.697005
-97.791715,120,32.734991
-109.737622,104,32.772784
-92.239519,82,32.797533
-75.539253,68,32.822942
-86.932151,95,32.874195
-30.487839,99,32.906996
-67.474472,105,32.945263
-244.88829,205,33.029017
-56.750825,104,33.065189
-191.083784,194,33.12902
-169.767868,161,34.691367
-82.687757,81,34.723881
-69.796096,95,34.758027
-42.457431,112,34.798822
-186.934284,173,34.866389
-65.283603,106,34.913585
-110.632168,78,34.972414
-207.195042,119,35.036782
-96.9278,104,35.074735
-253.703425,154,35.128861
-165.773421,87,35.157777
-88.492989,165,35.211219
-105.285767,136,35.251871
-35.957494,93,35.32436
-192.815778,152,35.384534
-268.217017,126,35.439454
-320.617616,208,36.061694
-65.672338,153,36.124855
-65.431945,135,36.17484
-174.28713,187,36.257978
-103.965135,93,36.290612
-109.592883,137,36.33233
-79.07279,124,36.385218
-279.793914,140,36.430035
-105.267544,176,37.184844
-193.227388,170,37.251291
-79.091914,95,37.28426
-93.603027,80,37.316951
-227.812935,128,37.380409
-30.242888,180,37.457494
-139.531051,192,37.530102
-150.024702,126,38.939903
-107.69188,88,38.975381
-91.544087,93,39.009164
-24.250451,173,39.083859
-92.998025,153,39.142285
-78.520013,112,39.192585
-90.147376,130,39.24048
-48.266869,155,39.29419
