#{"t_start": 1783885509.5518034, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.067633
-119.873151,78,0.097049
-185.423265,64,0.118438
-378.535101,103,0.153437
-94.028052,74,0.178047
-134.417143,82,0.207343
-69.778725,69,0.232542
-80.346029,66,0.265899
-98.433404,99,0.302211
-128.721352,86,0.332889
-106.93505,63,0.354668
-210.400887,123,0.395642
-24.561323,118,0.453308
-159.970325,96,0.484919
-184.932939,86,0.510853
-252.284203,95,0.539801
-117.603145,73,0.568077
-195.296713,79,0.593036
-330.764731,114,0.629925
-186.305367,62,0.650692
-261.025312,86,0.677528
-208.709875,84,0.703896
-112.77929,69,0.725762
-100.79755,60,1.353101
-131.433508,65,1.386098
-152.502338,64,1.405792
-253.405477,111,1.439311
-110.879222,67,1.459852
-182.68427,111,1.493182
-148.368523,71,1.514897
7.163419,92,1.543719
-172.621839,111,1.578361
-139.368945,120,1.615756
-106.502318,126,1.655274
-144.317972,92,1.684481
-109.721456,57,1.702355
-204.754248,86,1.745524
-88.224222,61,1.767369
10.538153,130,1.808786
-156.322393,97,1.840717
-293.504064,100,1.871346
-231.519446,121,1.907761
-67.068436,74,1.930575
-201.929396,117,1.978485
-46.361687,85,2.009446
-237.616076,86,2.598006
-281.594129,93,2.629837
-146.229157,68,2.659976
-121.780756,96,2.691124
-41.012597,73,2.714263
-335.980458,162,2.776863
-124.641804,89,2.811427
-85.772447,106,2.854225
-380.948895,87,2.883557
-121.511602,87,2.912884
-68.855692,162,2.96563
-158.484798,124,3.030861
-50.391596,97,3.081889
-270.944645,140,3.136072
-502.769529,98,3.166514
-97.104618,95,3.19608
-219.473502,136,3.237911
-373.30595,116,3.273941
-305.596733,71,3.296118
-245.044477,104,3.328357
-408.163681,90,3.895309
-392.97171,97,3.924729
-123.069172,91,3.952193
-325.351102,114,3.986751
-69.987098,80,4.011236
-266.262266,114,4.047023
-485.189187,139,4.094637
-397.212918,81,4.119687
-336.318789,126,4.159914
21.724637,98,4.209599
-151.750642,102,4.247296
-11.32518,107,4.29384
-182.74619,70,4.316471
-120.182107,93,4.347185
-84.233956,105,4.382599
-467.707743,127,4.422868
-129.508388,71,4.444911
-325.197404,146,4.492106
-386.398723,130,4.538556
-135.197608,103,4.57151
-212.068939,102,5.247256
-178.670933,98,5.319822
-363.467956,108,5.377894
-170.729696,110,5.457691
-110.110483,129,5.500991
-127.736845,75,5.524631
-96.983589,113,5.563515
-216.949807,123,5.606882
-175.367055,109,5.650248
-111.271357,118,5.697914
-135.627181,119,5.733856
-162.116273,84,5.759346
-145.828493,75,5.782446
-147.894326,135,5.823814
-102.900185,99,5.853795
-340.691417,75,5.879626
-54.411968,114,5.918349
-100.447425,81,5.943393
-235.845015,106,5.975839
-216.764749,105,7.566657
-73.062864,67,7.605832
-57.757081,81,7.637704
-109.801786,115,7.678841
-206.555911,119,7.728215
-100.628672,224,7.847768
-140.806362,57,7.867124
-88.661168,100,7.900768
-126.797323,89,7.928662
-131.079059,78,7.953312
-115.260045,74,7.97756
-110.923982,72,7.999799
-118.909159,71,8.029207
-74.864525,71,8.060934
